w,entry,exit,fill,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share
20,1.5,0.0,close,-0.09587629742580514,1.3712493541556092,-0.20155932128162865,0.41708542713567837,199,4.311557788944723,116,8,1.5226707111463424
20,1.5,0.0,open,-0.03613182955381157,1.0461469070028258,-0.07482208701129386,0.4321608040201005,199,4.311557788944723,116,8,1.522803677829417
20,1.5,0.5,close,-0.164545009309762,1.55751308209431,-0.3874021628503053,0.4541284403669725,218,3.1422018348623855,116,7,1.658661325213445
20,1.5,0.5,open,-0.12360504670962717,1.1862793541784409,-0.28383534025883095,0.46788990825688076,218,3.1422018348623855,116,7,1.6587537303426925
20,1.5,1.0,close,-0.13247893871545083,1.3640906803912214,-0.3496968345839356,0.5286885245901639,244,2.2540983606557377,114,5,1.8292415698720543
20,1.5,1.0,open,-0.11461889511205162,1.1729794776510054,-0.2914626879269201,0.5122950819672131,244,2.2540983606557377,114,5,1.829392802685329
20,2.0,0.0,close,-0.029296168493323872,1.1239612043125007,-0.05536409203767451,0.52,125,8.784,45,14,1.0190832792809874
20,2.0,0.0,open,-0.0274152184048892,1.1101096891439177,-0.051179672340626474,0.52,125,8.784,45,14,1.019107669937196
20,2.0,0.5,close,0.012755983553785984,0.9242648482304064,0.027080400597654306,0.5625,144,6.013888888888889,44,13,1.1524788940716444
20,2.0,0.5,open,0.016667572143714032,0.872824046517936,0.03467764859546567,0.5625,144,6.013888888888889,44,13,1.1525364861056868
20,2.0,1.0,close,0.05471424001024993,0.7133623908358779,0.13290918754090522,0.5900621118012422,161,4.099378881987578,42,10,1.2590675391099424
20,2.0,1.0,open,0.031063096769539944,0.8101067079394018,0.07329837611351261,0.5962732919254659,161,4.099378881987578,42,10,1.2591316317373802
20,2.5,0.0,close,-0.016239584387506757,1.526140922806453,-0.03206220845334357,0.5714285714285714,84,10.702380952380953,18,10,0.6826006384601946
20,2.5,0.0,open,0.000659491532209456,1.4606560618754414,0.0012839013763482447,0.6190476190476191,84,10.702380952380953,18,10,0.6826701572027798
20,2.5,0.5,close,0.005305748571376302,1.0308807163742508,0.01189025332028379,0.6,90,7.555555555555555,17,9,0.7230138068410195
20,2.5,0.5,open,0.006706977744818917,1.036424206144148,0.014713628173552427,0.5666666666666667,90,7.555555555555555,17,9,0.7230817138662341
20,2.5,1.0,close,-0.056997607094690185,1.3901130999081635,-0.14802719110067347,0.6145833333333334,96,5.166666666666667,17,7,0.753573176975607
20,2.5,1.0,open,-0.0797561630479545,1.600555810331025,-0.2010824660631771,0.6041666666666666,96,5.166666666666667,17,7,0.7536447640888175
30,1.5,0.0,close,-0.2620665277670236,2.2484152175512016,-0.534754287329652,0.35294117647058826,153,6.065359477124183,94,15,1.2325569641820373
30,1.5,0.0,open,-0.23931956791667272,2.12372516678603,-0.48604873833414175,0.35947712418300654,153,6.065359477124183,94,15,1.232699117654124
30,1.5,0.5,close,-0.10847829610898489,1.3846070813692615,-0.24581462153098652,0.4431818181818182,176,4.375,93,10,1.3696025815779775
30,1.5,0.5,open,-0.09468477127337492,1.2433874790035704,-0.21279863904917293,0.4431818181818182,176,4.375,93,10,1.369735118469753
30,1.5,1.0,close,-0.2183193196691106,1.8363083936757851,-0.5577835241178634,0.4845360824742268,194,3.1030927835051547,92,7,1.4803828737059053
30,1.5,1.0,open,-0.1712542197005573,1.522969880186616,-0.4309803485725651,0.4845360824742268,194,3.1030927835051547,92,7,1.4806253834462682
30,2.0,0.0,close,-0.012060261716675218,1.772832240108296,-0.02184948361865432,0.54,100,11.56,33,18,0.8652450174290377
30,2.0,0.0,open,-0.04189857889388484,1.9388080616521612,-0.07492956310470118,0.55,100,11.56,33,18,0.8652548220430423
30,2.0,0.5,close,-0.022476165427337633,1.793788700039816,-0.04509808981227466,0.5636363636363636,110,8.60909090909091,33,12,0.894849579331326
30,2.0,0.5,open,-0.050404739247770426,1.9955945224571168,-0.0996150341521973,0.5545454545454546,110,8.60909090909091,33,12,0.8948384047575566
30,2.0,1.0,close,0.026533539338843438,1.0311961289562777,0.06203736097470722,0.5702479338842975,121,5.603305785123967,32,9,0.954407586222725
30,2.0,1.0,open,-0.00491088476304171,1.2272782746260855,-0.011238191059284227,0.5537190082644629,121,5.603305785123967,32,9,0.9544314127778538
30,2.5,0.0,close,-0.028166744141394726,1.4513263131173946,-0.05350249500631224,0.578125,64,15.6875,11,13,0.5652794062793397
30,2.5,0.0,open,-0.0020997686883610623,1.4769058161859212,-0.003954756369803983,0.59375,64,15.6875,11,13,0.5653514769077616
30,2.5,0.5,close,-0.07497676185326844,1.7350645325328824,-0.15710281972686363,0.5970149253731343,67,12.26865671641791,11,9,0.5590969658935461
30,2.5,0.5,open,-0.04628637682728619,1.6532367750105523,-0.09611570307034227,0.5970149253731343,67,12.26865671641791,11,9,0.5591484065396244
30,2.5,1.0,close,0.06766043686323482,0.9332476806741914,0.16941113874634023,0.7012987012987013,77,7.3896103896103895,10,6,0.6124417754593293
30,2.5,1.0,open,0.09560596679811734,0.9647879485970622,0.2365423725851956,0.6753246753246753,77,7.3896103896103895,10,6,0.6125137923638388
60,1.5,0.0,close,0.05313430170122023,0.6148913800380603,0.11458767418076739,0.39,100,8.61,59,14,0.8347997568842888
60,1.5,0.0,open,0.07179278657428319,0.6192887954056523,0.15356389385393548,0.41,100,8.6,59,14,0.8348778983148066
60,1.5,0.5,close,-0.04408534411930232,0.9033538132835897,-0.10405567681382012,0.4205607476635514,107,6.682242990654205,59,10,0.8623069641102604
60,1.5,0.5,open,-0.027249219329495786,0.8904182197767246,-0.06357367366685504,0.42990654205607476,107,6.672897196261682,59,10,0.8623498895162306
60,1.5,1.0,close,-0.041156587466307695,0.8172142542246742,-0.11289748569483071,0.5,126,4.301587301587301,59,7,0.9744541537401934
60,1.5,1.0,open,-0.0024289974509502364,0.7361281923399275,-0.00658543005392074,0.49206349206349204,126,4.2936507936507935,59,7,0.9744912769636292
60,2.0,0.0,close,0.16861411415879582,0.8519856992847187,0.3099843720098165,0.5303030303030303,66,18.21212121212121,24,18,0.6239430174778808
60,2.0,0.0,open,0.1999254897455006,0.745285966222681,0.3651779447271693,0.5454545454545454,66,18.21212121212121,24,18,0.6240134763889321
60,2.0,0.5,close,0.13187012239719556,0.6736327074869263,0.2730422585272297,0.5616438356164384,73,12.726027397260275,24,14,0.6508092715675211
60,2.0,0.5,open,0.1540401701919427,0.5890534810585734,0.3167805346158945,0.5753424657534246,73,12.726027397260275,24,14,0.6508566291962605
60,2.0,1.0,close,0.05750250486397429,0.8393741340761876,0.13854626907493633,0.5802469135802469,81,8.716049382716049,24,9,0.6724840228347247
60,2.0,1.0,open,0.08451195307809023,0.7480459959846819,0.20174044517403886,0.5802469135802469,81,8.716049382716049,24,9,0.6725353560329784
60,2.5,0.0,close,-0.021393664780190235,2.0843902584993117,-0.038780480689103274,0.4864864864864865,37,26.486486486486488,10,14,0.3843370545777615
60,2.5,0.0,open,0.02045185106356854,1.963594419039988,0.03701057387882304,0.5135135135135135,37,26.486486486486488,10,14,0.38435609970469087
60,2.5,0.5,close,-0.017585759860082355,1.2559891480699361,-0.03555561123813292,0.5476190476190477,42,18.0,10,11,0.40182856654761884
60,2.5,0.5,open,0.002445145759486812,1.3026972338068776,0.004920771466614253,0.5,42,18.0,10,11,0.40184194380179483
60,2.5,1.0,close,-0.049098068047549605,1.3592410902893983,-0.11166046775849497,0.5333333333333333,45,12.488888888888889,10,7,0.3959022817759258
60,2.5,1.0,open,-0.04249575647072351,1.5256463122824866,-0.09600393729346524,0.5555555555555556,45,12.488888888888889,10,7,0.3959029264628741
120,1.5,0.0,close,0.08739298262587979,0.5101779448453818,0.19419896539219209,0.39473684210526316,76,10.644736842105264,46,12,0.648655291887584
120,1.5,0.0,open,0.08482767321885347,0.5530571626031333,0.18753944660231656,0.40789473684210525,76,10.644736842105264,46,12,0.6487218020910774
120,1.5,0.5,close,-0.0012615605545112706,0.791806621267925,-0.003138006175360738,0.43902439024390244,82,7.560975609756097,46,7,0.6592797865184858
120,1.5,0.5,open,0.0011081464859287139,0.7818374234074046,0.0027357989973117473,0.43902439024390244,82,7.560975609756097,46,7,0.6593544627566569
120,1.5,1.0,close,-0.13276332807006372,1.361325131387995,-0.37117775083768734,0.4777777777777778,90,5.344444444444444,46,4,0.7003331559008688
120,1.5,1.0,open,-0.10654539241517173,1.205850420842455,-0.2957442659969141,0.4888888888888889,90,5.344444444444444,46,4,0.7004449016385638
