version,fill,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share
v0 原版,close,-0.012739462466659334,1.6230275166170465,-0.019467590151764396,0.5316455696202531,158,7.291139240506329,60,0,1.1593880002569052
v0 原版,open,0.050422676654620614,1.1200297737148117,0.07295683281536398,0.5379746835443038,158,7.189873417721519,60,0,1.159506572326674
v1 +①止损冷静期,close,0.029063363278820132,0.9425066195568427,0.05224915805374916,0.5630252100840336,119,7.512605042016807,40,0,0.8701540467264687
v1 +①止损冷静期,open,0.043228439544951876,0.8885532907929624,0.07398246671250108,0.5546218487394958,119,7.394957983193278,40,0,0.8702155563225349
v2 +②换月,close,0.09565583607289017,0.79649356783946,0.1906067416865471,0.5803571428571429,112,8.625,33,12,0.9054481253125612
v2 +②换月,open,0.07752051952489357,0.8939554806646448,0.15222568215720247,0.5714285714285714,112,8.625,33,12,0.9054403622072262
v3 +③窗口120天,close,0.032264054575781416,0.9879445676603847,0.06863724037142022,0.5111111111111111,45,19.133333333333333,18,10,0.41120124029677635
v3 +③窗口120天,open,0.04229465738754455,0.887586482734804,0.08951835537284404,0.5333333333333333,45,19.11111111111111,18,10,0.4112534062156713
v4 +④方向性平仓,close,0.0346859855986137,0.9879445676603847,0.0737925148460692,0.5111111111111111,45,19.11111111111111,18,9,0.4052813486706534
v4 +④方向性平仓,open,0.04607130148704847,0.887586482734804,0.09751754635841048,0.5333333333333333,45,19.08888888888889,18,9,0.4053313656330543
