date,from,to,lead_days,to_L,to_PP,to_MA
20150727,201509,201601,5,L1601.DCE,PP1601.DCE,MA1601.ZCE
20151127,201601,201605,2,L1605.DCE,PP1605.DCE,MA1605.ZCE
20160330,201605,201609,2,L1609.DCE,PP1609.DCE,MA1609.ZCE
20160728,201609,201701,2,L1701.DCE,PP1701.DCE,MA1701.ZCE
20161129,201701,201705,2,L1705.DCE,PP1705.DCE,MA1705.ZCE
20170330,201705,201709,2,L1709.DCE,PP1709.DCE,MA1709.ZCE
20170728,201709,201801,2,L1801.DCE,PP1801.DCE,MA1801.ZCE
20171129,201801,201805,2,L1805.DCE,PP1805.DCE,MA1805.ZCE
20180329,201805,201809,2,L1809.DCE,PP1809.DCE,MA1809.ZCE
20180730,201809,201901,2,L1901.DCE,PP1901.DCE,MA1901.ZCE
20181129,201901,201905,2,L1905.DCE,PP1905.DCE,MA1905.ZCE
20190328,201905,201909,2,L1909.DCE,PP1909.DCE,MA1909.ZCE
20190730,201909,202001,2,L2001.DCE,PP2001.DCE,MA2001.ZCE
20191128,202001,202005,2,L2005.DCE,PP2005.DCE,MA2005.ZCE
20200330,202005,202009,2,L2009.DCE,PP2009.DCE,MA2009.ZCE
20200730,202009,202101,2,L2101.DCE,PP2101.DCE,MA2101.ZCE
20201127,202101,202105,2,L2105.DCE,PP2105.DCE,MA2105.ZCE
20210330,202105,202109,2,L2109.DCE,PP2109.DCE,MA2109.ZCE
20210729,202109,202201,2,L2201.DCE,PP2201.DCE,MA2201.ZCE
20211129,202201,202205,2,L2205.DCE,PP2205.DCE,MA2205.ZCE
20220330,202205,202209,2,L2209.DCE,PP2209.DCE,MA2209.ZCE
20220728,202209,202301,2,L2301.DCE,PP2301.DCE,MA2301.ZCE
20221129,202301,202305,2,L2305.DCE,PP2305.DCE,MA2305.ZCE
20230330,202305,202309,2,L2309.DCE,PP2309.DCE,MA2309.ZCE
20230728,202309,202401,2,L2401.DCE,PP2401.DCE,MA2401.ZCE
20231129,202401,202405,2,L2405.DCE,PP2405.DCE,MA2405.ZCE
20240328,202405,202409,2,L2409.DCE,PP2409.DCE,MA2409.ZCE
20240730,202409,202501,2,L2501.DCE,PP2501.DCE,MA2501.ZCE
20241128,202501,202505,2,L2505.DCE,PP2505.DCE,MA2505.ZCE
20250328,202505,202509,2,L2509.DCE,PP2509.DCE,MA2509.ZCE
20250730,202509,202601,2,L2601.DCE,PP2601.DCE,MA2601.ZCE
20251127,202601,202605,2,L2605.DCE,PP2605.DCE,MA2605.ZCE
20260330,202605,202609,2,L2609.DCE,PP2609.DCE,MA2609.ZCE
20260730,202609,202701,2,L2701.DCE,PP2701.DCE,MA2701.ZCE
