variant,year,train,window,entry,exit,qty_med,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share
A 固定手数,2019,2016-2018,120,2.5,0.0,1.0,0.13756009805126368,0.13659513081993224,0.9001934685812315,0.6666666666666666,3,30.0,0,1,0.011042477202824487
A 固定手数,2020,2017-2019,120,2.5,0.0,1.0,-0.1441818018993123,0.28728727085582706,-0.6716604418215817,0.3333333333333333,6,22.166666666666668,3,1,0.02167116724935822
A 固定手数,2021,2018-2020,20,2.5,1.0,1.0,-0.10743500720865976,0.24144690289882675,-0.47480839146128323,0.6153846153846154,13,6.076923076923077,2,0,0.03267645293580563
A 固定手数,2022,2019-2021,120,2.5,0.5,1.0,0.10904172091571435,0.02845265456811985,1.3116650925751399,1.0,1,7.0,0,0,0.0018567723852514375
A 固定手数,2023,2020-2022,120,1.5,0.5,1.0,-0.042416312509279075,0.09155059707454438,-0.7126288626119309,0.2857142857142857,7,3.2857142857142856,5,0,0.014248897953678355
A 固定手数,2024,2021-2023,120,2.5,0.5,1.0,0.024102082720576852,0.050264647426615405,0.4648075271078644,0.5,2,13.0,0,0,0.003998299806558462
A 固定手数,2025,2022-2024,20,2.5,0.0,1.0,-0.06550886841265277,0.11821850328483674,-0.5485140879909772,0.4444444444444444,9,7.444444444444445,4,0,0.019013556610972437
A 固定手数,2026,2023-2025,20,2.5,0.0,1.0,0.03424486966355571,0.12356448661268193,0.21659063334156922,0.5714285714285714,7,8.285714285714286,0,1,0.016013324098314297
B 波动定手数,2019,2016-2018,120,2.5,0.0,1.183654377035583,0.15738050959700367,0.1810335908590731,0.7967298976341625,0.6666666666666666,3,30.0,0,1,0.013846203253632228
B 波动定手数,2020,2017-2019,120,2.5,0.0,0.9120540291835272,-0.12214958632563983,0.26665006632134636,-0.6183784182843683,0.3333333333333333,6,22.166666666666668,3,1,0.019369595172510495
B 波动定手数,2021,2018-2020,20,2.5,1.0,0.8144303121400812,-0.06525405188562503,0.14135858172185156,-0.4384078499423448,0.6153846153846154,13,6.076923076923077,2,0,0.025347549489171606
B 波动定手数,2022,2019-2021,120,1.5,0.0,0.8754792599895597,0.2246060185107823,0.06773083171972694,1.4605802524657836,0.6,5,18.6,2,2,0.01159042054385208
B 波动定手数,2023,2020-2022,120,1.5,0.0,1.4790919371628946,-0.02746847153747553,0.1453842404821366,-0.2752652840705278,0.2857142857142857,7,3.7142857142857144,5,0,0.02189114972925123
B 波动定手数,2024,2021-2023,60,2.5,0.5,2.096584060817773,0.06980327068024911,0.13993115659070055,0.5069699106685926,0.6666666666666666,3,16.666666666666668,0,1,0.017049565844255953
B 波动定手数,2025,2022-2024,20,2.5,0.0,1.2569274065272098,-0.07819783839784089,0.16399793953415365,-0.48928636875170506,0.4444444444444444,9,7.444444444444445,4,0,0.023811900823304682
B 波动定手数,2026,2023-2025,20,2.5,0.0,0.7217489719721736,0.07354359147573811,0.06147740095252807,0.7744859228128244,0.5714285714285714,7,8.285714285714286,0,1,0.010243084630015033
C 波动定手数+金额止损,2019,2016-2018,20,2.5,0.0,1.1208873992008201,-0.08936376329866871,0.1917030199825509,-0.6517852223582803,0.3333333333333333,6,9.666666666666666,1,2,0.024565737222046486
C 波动定手数+金额止损,2020,2017-2019,120,2.5,0.0,0.9034213333877767,-0.16672894858392528,0.27063073742555654,-1.007577457737033,0.2857142857142857,7,14.285714285714286,3,1,0.021964465437390425
C 波动定手数+金额止损,2021,2018-2020,20,2.5,1.0,0.8144303121400812,-0.10822095081764806,0.14617463516232432,-0.7415178957631071,0.6153846153846154,13,5.461538461538462,2,0,0.025347908443245283
C 波动定手数+金额止损,2022,2019-2021,20,2.5,1.0,0.8705000394156384,0.03732351852193365,0.0471652599537119,0.39360361470338934,0.7142857142857143,7,5.0,0,0,0.01178156524098058
C 波动定手数+金额止损,2023,2020-2022,120,1.5,0.0,1.4790919371628946,-0.02746847153747553,0.1453842404821366,-0.2752652840705278,0.2857142857142857,7,3.7142857142857144,5,0,0.02189114972925123
C 波动定手数+金额止损,2024,2021-2023,60,2.5,0.5,2.096584060817773,0.06980327068024911,0.13993115659070055,0.5069699106685926,0.6666666666666666,3,16.666666666666668,0,1,0.017049565844255953
C 波动定手数+金额止损,2025,2022-2024,20,2.5,0.0,1.2569274065272098,-0.07819783839784089,0.16399793953415365,-0.48928636875170506,0.4444444444444444,9,7.444444444444445,4,0,0.023811900823304682
C 波动定手数+金额止损,2026,2023-2025,20,2.5,0.0,0.7217489719721736,0.04889319180224785,0.07685879293081765,0.5223940677918147,0.5714285714285714,7,6.571428571428571,0,1,0.010245308003432617
