variant,scope,fill,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share,se,t,years
A 固定手数,all,close,0.008360447305227186,0.39049608712007833,0.055273213892691374,0.5,48,10.125,14,3,0.11985401106908734,0.36757273322843637,0.150373542148298,7.412698412698413
A 固定手数,all,open,-0.008433318997390601,0.3854876103483491,-0.05754208386686968,0.5,48,10.0625,14,3,0.11988182191231585,0.3675962178798401,-0.15653611508505522,7.412698412698413
A 固定手数,since2020,close,-0.012116441231025517,0.4392718972549159,-0.08028922395906672,0.4888888888888889,45,8.8,14,2,0.10876581954598846,0.3945536242055757,-0.20349381942879666,6.444444444444445
A 固定手数,since2020,open,-0.03036829052440517,0.4312791734300848,-0.20858042183619668,0.4888888888888889,45,8.733333333333333,14,2,0.10879226729955561,0.39818069164812825,-0.5238335916612424,6.444444444444445
B 波动定手数,all,close,0.03625309514589579,0.27063580399429965,0.23215999170752835,0.5094339622641509,53,11.30188679245283,16,6,0.1425523348682436,0.37220851160839097,0.623736385566027,7.412698412698413
B 波动定手数,all,open,0.02724209333898097,0.27106630184701286,0.17596105249373284,0.5094339622641509,53,11.245283018867925,16,6,0.14260675945080087,0.3701244428666546,0.4754105163411935,7.412698412698413
B 波动定手数,since2020,close,0.0167208029870849,0.30966591405611055,0.11236850338524138,0.5,50,10.18,16,5,0.1286590640645595,0.3951608154193786,0.2843614523519653,6.444444444444445
B 波动定手数,since2020,open,0.007689277103169693,0.30806287041185076,0.05217580885286076,0.5,50,10.12,16,5,0.12871180001128424,0.39418730051869505,0.13236298780859945,6.444444444444445
C 波动定手数+金额止损,all,close,-0.04985803277768966,0.5361535240335737,-0.37594484057985783,0.4915254237288136,59,7.728813559322034,15,5,0.15559720194254462,0.38004856412174304,-0.9892021074954762,7.412698412698413
C 波动定手数+金额止损,all,open,-0.04286905580336926,0.45627672664234864,-0.32155202137244837,0.4915254237288136,59,7.677966101694915,15,5,0.1556960314676531,0.37666678720135033,-0.8536776596672966,7.412698412698413
C 波动定手数+金额止损,since2020,close,-0.043236697416881326,0.48087070514441554,-0.3270863814392514,0.5094339622641509,53,7.490566037735849,14,3,0.13107372130444986,0.404317960277117,-0.8089830617840188,6.444444444444445
C 波动定手数+金额止损,since2020,open,-0.03588339778067648,0.4060496514573627,-0.270249943482722,0.5094339622641509,53,7.452830188679245,14,3,0.13117341469088087,0.40104728510845167,-0.67386054841299,6.444444444444445
