date,A 固定手数,B 波动定手数,C 波动定手数+金额止损
20190102,1.0,1.0,1.0
20190103,1.0,1.0,1.0
20190104,1.0,1.0,1.0
20190107,1.0,1.0,1.0
20190108,1.0,1.0,1.0
20190109,1.0,1.0,1.0
20190110,1.0,1.0,1.0
20190111,1.0,1.0,1.0
20190114,1.0,1.0,1.0
20190115,1.0,1.0,1.0
20190116,1.0,1.0,1.0
20190117,1.0,1.0,1.0
20190118,1.0,1.0,1.0
20190121,1.0,1.0,1.0
20190122,1.0,1.0,1.0
20190123,1.0,1.0,1.0
20190124,1.0,1.0,1.0
20190125,1.0,1.0,1.0
20190128,1.0,1.0,1.0
20190129,1.0,1.0,1.0
20190130,1.0,1.0,1.0
20190131,1.0,1.0,1.0
20190201,1.0,1.0,1.0
20190211,1.0,1.0,1.0
20190212,1.0,1.0,1.0
20190213,1.0,1.0,1.0
20190214,1.0,1.0,1.0
20190215,1.0,1.0,1.0375151241678215
20190218,1.0,1.0,1.0573328943354046
20190219,1.0,1.0,1.0604880124354066
20190220,1.0,1.0,1.0604880124354066
20190221,1.0,1.0,1.0604880124354066
20190222,1.0,1.0,1.0604880124354066
20190225,1.0,1.0,1.0604880124354066
20190226,1.0,1.0,1.0604880124354066
20190227,1.0,1.0,1.0604880124354066
20190228,1.0,1.0,1.0604880124354066
20190301,1.0,1.0,1.0604880124354066
20190304,1.0,1.0,1.0604880124354066
20190305,1.0,1.0,1.0604880124354066
20190306,1.0,1.0,1.0604880124354066
20190307,1.0,1.0,1.0604880124354066
20190308,1.0,1.0,1.0604880124354066
20190311,1.0,1.0,1.0604880124354066
20190312,1.0,1.0,1.0604880124354066
20190313,1.0,1.0,1.0604880124354066
20190314,1.0,1.0,1.0604880124354066
20190315,1.0,1.0,1.0604880124354066
20190318,1.0,1.0,1.0604880124354066
20190319,1.0,1.0,1.0604880124354066
20190320,1.0,1.0,1.0604880124354066
20190321,1.0,1.0,1.0604880124354066
20190322,1.0,1.0,1.0604880124354066
20190325,1.0,1.0,1.0604880124354066
20190326,1.0,1.0,1.0604880124354066
20190327,1.0,1.0,1.0604880124354066
20190328,1.0,1.0,1.043798266447872
20190329,1.0,1.0,1.0300805737229415
20190401,1.0,1.0,1.0333005831630746
20190402,1.0,1.0,1.016405902150112
20190403,1.0,1.0,1.0145391453307455
20190404,1.0,1.0,1.0147248622924918
20190408,1.0,1.0,1.0152803779267483
20190409,1.0,1.0,1.011215298135811
20190410,1.0,1.0,1.0103065485588196
20190411,1.0,1.0,1.0006073025310525
20190412,1.0,1.0,0.9868183962319782
20190415,1.0,1.0,0.9805304881521091
20190416,1.0,1.0,0.9695760384284969
20190417,1.0010235242269347,1.0011824967578837,0.9730951831566103
20190418,0.9893197696624704,0.9876609293505417,0.9606015427454946
20190419,0.9998322857404361,0.9998062365667895,0.9614364222184187
20190422,1.0129246492898902,1.014932090008118,0.9614364222184187
20190423,1.008540530322438,1.0098670350453114,0.9614364222184187
20190424,1.0061786231611354,1.0071382793528088,0.9614364222184187
20190425,1.0157598952024562,1.0182077028477408,0.9614364222184187
20190426,0.984361674551899,0.9819327489721563,0.9614364222184187
20190429,0.9914809871110783,0.9901578244496584,0.9614364222184187
20190430,0.9775646200451803,0.9740799842736357,0.9614364222184187
20190506,1.0014690025153,1.001697166189087,0.9614364222184187
20190507,1.0109512874801179,1.0126522280558754,0.9614364222184187
20190508,1.040302055521174,1.0465617214871024,0.9614364222184187
20190509,1.0560266594025007,1.0647286516088845,0.9614364222184187
20190510,1.0521857550213687,1.0602911826574832,0.9614364222184187
20190513,1.0589493186362442,1.0681052546998058,0.9614364222184187
20190514,1.0669977029909086,1.0774037042676237,0.9614364222184187
20190515,1.0672735781811673,1.0777224280549818,0.9614364222184187
20190516,1.0672735781811673,1.0777224280549818,0.9614364222184187
20190517,1.0672735781811673,1.0777224280549818,0.9614364222184187
20190520,1.0672735781811673,1.0777224280549818,0.9614364222184187
20190521,1.0672735781811673,1.0777224280549818,0.9614364222184187
20190522,1.0672735781811673,1.0777224280549818,0.9614364222184187
20190523,1.0672735781811673,1.0777224280549818,0.9614364222184187
20190524,1.0672735781811673,1.0777224280549818,0.9614364222184187
20190527,1.0672735781811673,1.0777224280549818,0.9614364222184187
20190528,1.0672735781811673,1.0777224280549818,0.9614364222184187
